Header Size:	 79	 	 
Pulse Version:	 80	 	 
Running Pulse Version:	PULSE LabShop v. 15.1.0.15 - 2010-11-08	 	 
Decimal Symbol:	.	 	 
Date Format:	dd/MM/yyyy	 	 
Time Format:	HH:mm:ss:mmm	 	 
Data Type:	Complex	 	 
Slice:	False	 	 
Z-Axis type:	Linear	 	 
Z-Axis size:	1	 	 
Z-Axis unit:	 	 	 
Z-Axis first value:	 0.0000000000e+000	 	 
Z-Axis delta:	 1.0000000000e+000	 	 
X-Axis type:	Linear	 	 
X-Axis size:	6401	 	 
X-Axis unit:	Hz	 	 
X-Axis first value:	 0.0000000000e+000	 	 
X-Axis delta:	 2.5000000000e-001	 	 
	 	 	 
AmplitudeUnit:	V/N	 	 
Analyzer:	FFT_Spectrum_Averaging	 	 
AnalyzerName:	FFT Analyzer	 	 
	 	 	 
	 	 	 
Bipolar:	True	 	 
CenterFrequency:	 8.0000000000e+002	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
Domain:	1	 	 
Function:	Frequency Response	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
MultiBufferName:	Input	 	 
NBW:	 1.0000000000e+000	 	 
	 	 	 
OverlapFailed:	False	 	 
Overrun:	False	 	 
Power:	False	 	 
	 	 	 
Ratio:	True	 	 
RecordLength:	 4.0000000000e+000	 	 
ReducedSize:	True	 	 
Ref_Signal:	hammer	 	 
	 	 	 
	 	 	 
RefSignalUnit:	N	 	 
	 	 	 
	 	 	 
Signal:	PCB1	 	 
	 	 	 
SignalUnit:	V	 	 
	 	 	 
	 	 	 
	 	 	 
Title:	Frequency Response H1(PCB1,hammer) - Current	 	 
Title1:	Working : Input : Input : FFT Analyzer	 	 
	 	 	 
	 	 	 
	 	 	 
ZoomOn:	False	 	 
	 	 	 
TemplateName:	Working	 	 
MeasurementName:	Input	 	 
MeasurementSlice:	False	 	 
	 	 	 
	 	 	 
	 	 	 
EnvelopeOn:	False	 	 
	 	 	 
	 	 	 
	 	 	 
Z-index:	 	1	 
Date:	 	15/11/2018	 
Time:	 	10:49:15:530	 
Relative time:	 	 0.00000e+000	 
Z-axis:	 	 0.0000000000e+000	 
1	 0.0000000000e+000	 1.42468e-001	-0.00000e+000
2	 2.5000000000e-001	 7.88727e-003	-2.20059e-001
3	 5.0000000000e-001	-2.27243e-003	 9.15836e-002
4	 7.5000000000e-001	-1.09272e-001	 2.25643e-001
5	 1.0000000000e+000	-8.89789e-002	 9.47390e-002
6	 1.2500000000e+000	-6.84655e-002	 7.44333e-002
7	 1.5000000000e+000	-1.37994e-001	 9.45188e-002
8	 1.7500000000e+000	-1.40702e-001	 1.00783e-001
9	 2.0000000000e+000	-1.24688e-001	 2.86220e-002
10	 2.2500000000e+000	-1.89819e-001	 1.26582e-001
11	 2.5000000000e+000	-1.80675e-001	 9.32946e-002
12	 2.7500000000e+000	-2.05512e-001	 1.06185e-001
13	 3.0000000000e+000	-2.83519e-001	 1.15215e-001
14	 3.2500000000e+000	-3.57228e-001	 1.54681e-001
15	 3.5000000000e+000	-4.39319e-001	 1.96537e-001
16	 3.7500000000e+000	-6.78417e-001	 2.90771e-001
17	 4.0000000000e+000	-1.16594e+000	 5.94321e-001
18	 4.2500000000e+000	-3.49349e+000	 3.26489e+000
19	 4.5000000000e+000	 2.69827e+000	-4.03490e-001
20	 4.7500000000e+000	 1.13064e+000	-2.71492e-001
21	 5.0000000000e+000	 7.50879e-001	-1.74657e-001
22	 5.2500000000e+000	 5.83812e-001	-1.49386e-001
23	 5.5000000000e+000	 4.69860e-001	-1.24711e-001
24	 5.7500000000e+000	 4.25283e-001	-1.10962e-001
25	 6.0000000000e+000	 4.08300e-001	-1.04913e-001
26	 6.2500000000e+000	 3.98654e-001	-1.25687e-001
27	 6.5000000000e+000	 4.16096e-001	-1.66675e-001
28	 6.7500000000e+000	 4.46622e-001	-2.81215e-001
29	 7.0000000000e+000	 3.11466e-001	-5.30242e-001
30	 7.2500000000e+000	-1.11034e-001	-4.13416e-001
31	 7.5000000000e+000	-8.55032e-002	-1.75616e-001
32	 7.7500000000e+000	-1.29673e-002	-1.28913e-001
33	 8.0000000000e+000	 8.22681e-003	-1.06216e-001
34	 8.2500000000e+000	 3.59891e-002	-1.11729e-001
35	 8.5000000000e+000	 2.41834e-002	-1.42929e-001
36	 8.7500000000e+000	-1.16839e-001	 6.64094e-002
37	 9.0000000000e+000	 1.56465e-002	 2.26157e-003
38	 9.2500000000e+000	 2.32673e-002	-1.20544e-002
39	 9.5000000000e+000	 3.06070e-002	-8.31825e-003
40	 9.7500000000e+000	 3.36873e-002	-1.25947e-002
41	 1.0000000000e+001	 3.67578e-002	 2.23464e-003
42	 1.0250000000e+001	 4.31975e-002	-3.18301e-003
43	 1.0500000000e+001	 4.27520e-002	-2.29590e-004
44	 1.0750000000e+001	 4.55122e-002	 1.29657e-002
45	 1.1000000000e+001	 5.87599e-002	 6.22104e-003
46	 1.1250000000e+001	 6.99902e-002	 4.28288e-003
47	 1.1500000000e+001	 8.86250e-002	-2.22779e-002
48	 1.1750000000e+001	 5.11815e-002	-2.64516e-002
49	 1.2000000000e+001	 5.56714e-002	-2.97503e-002
50	 1.2250000000e+001	 4.53309e-002	-2.38714e-002
51	 1.2500000000e+001	 5.36962e-002	-1.49898e-002
52	 1.2750000000e+001	 5.02095e-002	-6.73283e-003
53	 1.3000000000e+001	 4.97786e-002	-2.01800e-002
54	 1.3250000000e+001	 4.48072e-002	-1.36374e-002
55	 1.3500000000e+001	 4.33756e-002	-3.52958e-003
56	 1.3750000000e+001	 4.48606e-002	-5.08333e-003
57	 1.4000000000e+001	 4.55583e-002	-9.30315e-003
58	 1.4250000000e+001	 4.19464e-002	-1.86212e-003
59	 1.4500000000e+001	 3.84662e-002	-7.06968e-003
60	 1.4750000000e+001	 4.44129e-002	 2.34389e-004
61	 1.5000000000e+001	 3.94573e-002	 8.81728e-005
62	 1.5250000000e+001	 4.37791e-002	 1.47240e-003
63	 1.5500000000e+001	 4.80746e-002	-4.94954e-003
64	 1.5750000000e+001	 4.03057e-002	-4.34767e-003
65	 1.6000000000e+001	 3.88944e-002	-5.60317e-004
66	 1.6250000000e+001	 3.96087e-002	-2.11269e-003
67	 1.6500000000e+001	 4.01158e-002	 2.66289e-003
68	 1.6750000000e+001	 4.05292e-002	-2.11964e-004
69	 1.7000000000e+001	 3.91373e-002	 6.33539e-003
70	 1.7250000000e+001	 3.77531e-002	-2.08831e-003
71	 1.7500000000e+001	 3.68916e-002	 2.05059e-003
72	 1.7750000000e+001	 3.42507e-002	 6.07483e-003
73	 1.8000000000e+001	 3.47829e-002	 9.96289e-003
74	 1.8250000000e+001	 2.66614e-002	 5.82985e-003
75	 1.8500000000e+001	 2.91006e-002	 1.19744e-002
76	 1.8750000000e+001	 3.83666e-002	 5.12601e-003
77	 1.9000000000e+001	 4.14255e-002	 4.83598e-003
78	 1.9250000000e+001	 3.11524e-002	 9.53248e-003
79	 1.9500000000e+001	 3.39893e-002	 9.67264e-003
80	 1.9750000000e+001	 2.92008e-002	 1.09752e-002
81	 2.0000000000e+001	 3.24137e-002	 1.27564e-002
82	 2.0250000000e+001	 3.68518e-002	 1.16387e-002
83	 2.0500000000e+001	 3.35985e-002	 1.29729e-002
84	 2.0750000000e+001	 3.27429e-002	 8.72728e-003
85	 2.1000000000e+001	 3.34526e-002	 9.12710e-003
86	 2.1250000000e+001	 3.27461e-002	 1.38826e-002
87	 2.1500000000e+001	 3.24059e-002	 1.91274e-002
88	 2.1750000000e+001	 3.34403e-002	 8.55545e-003
89	 2.2000000000e+001	 3.42039e-002	 1.81916e-002
90	 2.2250000000e+001	 2.97412e-002	 2.00730e-002
91	 2.2500000000e+001	 3.62713e-002	 6.52140e-003
92	 2.2750000000e+001	 3.22847e-002	 1.00105e-002
93	 2.3000000000e+001	 3.37926e-002	 1.42796e-002
94	 2.3250000000e+001	 3.72271e-002	 8.73148e-003
95	 2.3500000000e+001	 3.25709e-002	 1.49656e-002
96	 2.3750000000e+001	 3.54628e-002	 1.28629e-002
97	 2.4000000000e+001	 3.02547e-002	 1.73632e-002
98	 2.4250000000e+001	 2.52014e-002	 7.62323e-003
99	 2.4500000000e+001	 2.19853e-002	 1.18637e-002
100	 2.4750000000e+001	 2.43286e-002	 1.66411e-002
101	 2.5000000000e+001	 2.59508e-002	 2.31368e-002
102	 2.5250000000e+001	 2.59978e-002	 1.75150e-002
103	 2.5500000000e+001	 2.79146e-002	 1.68171e-002
104	 2.5750000000e+001	 2.86424e-002	 1.95453e-002
105	 2.6000000000e+001	 2.71743e-002	 1.46106e-002
106	 2.6250000000e+001	 3.22888e-002	 1.66316e-002
107	 2.6500000000e+001	 2.90704e-002	 2.17275e-002
108	 2.6750000000e+001	 2.95547e-002	 1.60618e-002
109	 2.7000000000e+001	 2.82940e-002	 1.64532e-002
110	 2.7250000000e+001	 2.32147e-002	 1.48741e-002
111	 2.7500000000e+001	 2.93230e-002	 2.19417e-002
112	 2.7750000000e+001	 2.35062e-002	 1.36979e-002
113	 2.8000000000e+001	 2.38476e-002	 2.04920e-002
114	 2.8250000000e+001	 2.64729e-002	 1.98702e-002
115	 2.8500000000e+001	 2.94990e-002	 1.86369e-002
116	 2.8750000000e+001	 2.21031e-002	 2.45793e-002
117	 2.9000000000e+001	 3.24000e-002	 2.18984e-002
118	 2.9250000000e+001	 2.67096e-002	 2.66267e-002
119	 2.9500000000e+001	 2.22191e-002	 2.84582e-002
120	 2.9750000000e+001	 2.90917e-002	 2.34070e-002
121	 3.0000000000e+001	 2.34878e-002	 1.69187e-002
122	 3.0250000000e+001	 2.51817e-002	 1.82567e-002
123	 3.0500000000e+001	 1.83973e-002	 2.00008e-002
124	 3.0750000000e+001	 2.76207e-002	 2.06235e-002
125	 3.1000000000e+001	 1.65762e-002	 1.78108e-002
126	 3.1250000000e+001	 2.28426e-002	 2.28494e-002
127	 3.1500000000e+001	 2.10965e-002	 2.16266e-002
128	 3.1750000000e+001	 2.35096e-002	 2.58325e-002
